,dt,channel,username,message,neg,neu,pos,compound
1845,2021-05-01 18:59:43,doublelift,mistersjeeks,@rozkie xD,0.0,0.208,0.792,0.5859
1846,2021-05-01 18:59:48,doublelift,spartaman64,how are you guys winning this game LUL,0.0,0.673,0.327,0.5267
1847,2021-05-01 18:59:49,doublelift,gorpmeat,jhin actually strong now,0.0,0.476,0.524,0.5106
1848,2021-05-01 18:59:53,doublelift,pet5a5,the baron plays kekw,0.0,0.6,0.4,0.25
1849,2021-05-01 19:00:03,doublelift,adaptmfer,riven is 1v9,0.0,1.0,0.0,0.0
1850,2021-05-01 19:00:13,doublelift,adaptmfer,KEKW,0.0,1.0,0.0,0.0
1851,2021-05-01 19:00:14,doublelift,ariarie123,xqcT questionable combo there,0.423,0.577,0.0,-0.296
1852,2021-05-01 19:00:14,doublelift,spartaman64,monkaS,1.0,0.0,0.0,-0.25
1853,2021-05-01 19:00:17,doublelift,victorchung0325,Thresh quite tanky,0.0,1.0,0.0,0.0
1854,2021-05-01 19:00:19,doublelift,adimininastr0,monkaW,1.0,0.0,0.0,-0.25
1855,2021-05-01 19:00:20,doublelift,keberzzz,yeeted,0.0,1.0,0.0,0.0
1856,2021-05-01 19:00:24,doublelift,peped_,KEKW,0.0,1.0,0.0,0.0
1857,2021-05-01 19:00:25,doublelift,spartaman64,nooo,0.0,1.0,0.0,0.0
1858,2021-05-01 19:00:25,doublelift,razzakksa,Riven can kill 15 ppl,0.54,0.46,0.0,-0.6908
1859,2021-05-01 19:00:27,doublelift,mycon123,HAHAHAHH,0.0,1.0,0.0,0.0
1860,2021-05-01 19:00:27,doublelift,razzzby,KEKW,0.0,1.0,0.0,0.0
1861,2021-05-01 19:00:28,doublelift,izzaya12,oof,0.0,1.0,0.0,0.0
1862,2021-05-01 19:00:28,doublelift,benzi6,epaf,0.0,1.0,0.0,0.0
1863,2021-05-01 19:00:29,doublelift,rapoophead,KEKW,0.0,1.0,0.0,0.0
1864,2021-05-01 19:00:29,doublelift,yuyuyuna,KEKW,0.0,1.0,0.0,0.0
1865,2021-05-01 19:00:30,doublelift,rozkie,lmao,0.0,0.0,1.0,0.5994
1866,2021-05-01 19:00:31,doublelift,dwg_shoemaker,KEKW,0.0,1.0,0.0,0.0
1867,2021-05-01 19:00:32,doublelift,glima03,LUL,0.0,1.0,0.0,0.0
1868,2021-05-01 19:00:32,doublelift,iam_jeffo,monka s,0.667,0.333,0.0,-0.25
1869,2021-05-01 19:00:36,doublelift,orcanash,lol wow,0.0,0.0,1.0,0.765
1870,2021-05-01 19:00:36,doublelift,keberzzz,360 no scoped,0.524,0.476,0.0,-0.296
1871,2021-05-01 19:00:36,doublelift,unknown_datum,Looking forward to the YouTube video with this game and the pregame “no fun plays on my main speech”,0.0,0.762,0.238,0.6486
1872,2021-05-01 19:00:37,doublelift,fantasystar,epaf,0.0,1.0,0.0,0.0
1873,2021-05-01 19:00:38,doublelift,izzaya12,sadge,1.0,0.0,0.0,-0.25
1874,2021-05-01 19:00:40,doublelift,rozkie,bonked,0.0,1.0,0.0,0.0
1875,2021-05-01 19:00:42,doublelift,cottonbritches,LOL,0.0,0.0,1.0,0.4215
1876,2021-05-01 19:00:47,doublelift,benzi6,!followage,0.0,1.0,0.0,0.0
1877,2021-05-01 19:00:48,doublelift,adaptmfer,cant see cant see cant see,0.0,1.0,0.0,0.0
1878,2021-05-01 19:00:49,doublelift,its_prodigal,that alone was worth lmao,0.204,0.204,0.592,0.5859
1879,2021-05-01 19:00:54,doublelift,saibot_senpai,tact died with ult lul,0.474,0.526,0.0,-0.5574
1880,2021-05-01 19:00:59,doublelift,its_prodigal,glad I saw live,0.0,0.5,0.5,0.4588
1881,2021-05-01 19:01:09,doublelift,adaptmfer,POGGERS this riven,0.0,0.423,0.577,0.4084
1882,2021-05-01 19:01:09,doublelift,jadson88888,LUL,0.0,1.0,0.0,0.0
1883,2021-05-01 19:01:10,doublelift,tcfive,Pog,0.0,0.0,1.0,0.25
1884,2021-05-01 19:01:15,doublelift,xaus10,ADC IS IMPORTANT HAHAHA,0.0,0.27,0.73,0.6597
1885,2021-05-01 19:01:16,doublelift,deadfeesh321,supp diff >:),0.0,0.588,0.412,0.1027
1886,2021-05-01 19:01:17,doublelift,furyofthecursed,noct KEKW,0.0,1.0,0.0,0.0
1887,2021-05-01 19:01:19,doublelift,trucklionn,won with a true adc Pog,0.0,0.261,0.739,0.8176
1888,2021-05-01 19:01:19,doublelift,victorchung0325,all planned Kappa,0.0,1.0,0.0,0.0
1889,2021-05-01 19:01:19,doublelift,iamhobbes,that riven carry,0.0,1.0,0.0,0.0
1890,2021-05-01 19:01:22,doublelift,bigtarzanfan,riven kinda 1v9 XD,0.0,0.414,0.586,0.6433
